1,0.114925528
2,0.000103331
3,6.96E-05
4,6.80E-05
5,7.36E-05
6,8.36E-05
7,9.30E-05
8,0.000114632
9,0.000144815
10,0.000196362
11,0.000238371
12,0.000340128
13,0.00049367
14,0.000572348
15,0.000757599
16,0.001028013
17,0.001237106
18,0.001737833
19,0.002064562
20,0.002687931
21,0.003477383
22,0.004137278
23,0.004843044
24,0.005910969
25,0.007598209
26,0.008688784
27,0.00990572
28,0.012032223
29,0.013657665
30,0.016665411
31,0.018473053
32,0.021854496
33,0.025834084
34,0.029944897
35,0.032508278
36,0.03871913
37,0.044723177
38,0.051115179
39,0.055259514
40,0.063698864
41,0.071842766
42,0.081159353
43,0.090522194
44,0.104419374
45,0.112283611
46,0.125181103
47,0.132539177
48,0.150491381
49,0.166725779
50,0.184343338
51,0.203368378
52,0.218828392
53,0.240360022
54,0.263495445
55,0.279081202
56,0.316645384
57,0.346661425
58,0.371887589
59,0.394192219
60,0.435750866
61,0.470695114
62,0.509770393
63,0.542390156
64,0.602474594
65,0.6422472
66,0.693677425
67,0.735932064
68,0.808593225
69,0.856831121
70,0.925450182
71,0.94567275
72,1.061170197
73,1.137878084
74,1.209053946
75,1.299592018
76,1.375523376
77,1.469799709
78,1.56586647
79,1.619233227
80,1.768400002
81,1.897786999
82,2.002396393
83,2.08783884
84,2.251850176
85,2.38769145
86,2.535986519
87,2.664290762
88,2.830714226
89,2.948004198
90,3.173804092
91,3.351224041
92,3.53031373
93,3.762242842
94,3.9656744
95,4.050553465
96,4.422567749
97,4.600294161
98,4.814275789
99,5.0644063
100,5.383658504
